date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:59	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:59%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=252	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index8af3.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:03	428140/428140	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:01%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=236	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexbe21.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:05	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:02%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=237	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index5972.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:05	428143/428143	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:03%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=238	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index3bc8.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:07	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:05%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=240	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index7a35.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:08	428145/428145	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:08%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=239	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexaef1.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:12	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:11%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=241	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index446c.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:13	428145/428145	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:12%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=245	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index9b66.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:15	428145/428145	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:12%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=248	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index18e6.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:16	428145/428145	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:14%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=246	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index223d.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:21	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:18%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=247	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index784e.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:21	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:19%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=250	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index461a.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:23	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:20%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=251	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexa1d4.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:25	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:22%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=253	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexc7b6.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:10:29	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:10:27%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=255	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexa764.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
